real_data,synth,utterance,CER,WER
0.25,1,527,0.38461538461538464,1.0
0.25,1,528,0.21052631578947367,0.5714285714285714
0.25,1,529,0.3404255319148936,0.8181818181818182
0.25,1,530,0.22857142857142856,0.5714285714285714
0.25,1,531,0.34285714285714286,0.75
0.25,1,532,0.22388059701492538,0.4666666666666667
0.25,1,533,0.29411764705882354,0.6666666666666666
0.25,1,534,0.43661971830985913,0.9285714285714286
0.25,1,535,0.22448979591836735,0.7
0.25,1,536,0.0975609756097561,0.2222222222222222
0.25,1,537,0.225,0.5714285714285714
0.25,1,538,0.4426229508196721,0.6470588235294118
0.25,1,539,0.273972602739726,1.0
0.25,1,540,0.14285714285714285,0.4782608695652174
0.25,1,541,0.19591836734693877,0.54
0.25,1,542,0.28205128205128205,0.6
0.25,1,543,0.1568627450980392,0.5
0.25,1,544,0.22340425531914893,0.6511627906976745
0.25,1,545,0.25833333333333336,0.8260869565217391
0.25,1,546,0.22448979591836735,0.6363636363636364
0.25,1,547,0.2222222222222222,0.7894736842105263
0.25,1,548,0.27586206896551724,0.7419354838709677
0.25,1,549,0.16615384615384615,0.5555555555555556
0.25,1,550,0.25252525252525254,0.8421052631578947
0.25,1,551,0.09375,0.3333333333333333
0.25,1,552,0.0,0.0
0.25,1,553,0.27586206896551724,0.5714285714285714
0.25,1,554,0.19090909090909092,0.6521739130434783
0.25,1,555,0.26666666666666666,0.7142857142857143
0.25,1,556,0.23684210526315788,1.1666666666666667
0.25,1,557,0.43478260869565216,1.0
0.25,1,558,0.6,1.75
0.25,1,559,0.27835051546391754,0.7058823529411765
0.25,1,560,0.2236842105263158,0.5
0.25,1,561,0.2653061224489796,0.8181818181818182
0.25,1,562,0.30120481927710846,0.8666666666666667
0.25,1,563,0.25287356321839083,0.625
0.25,1,564,0.20689655172413793,0.6923076923076923
0.25,1,565,0.28125,0.6428571428571429
0.25,1,566,0.35294117647058826,0.875
0.25,1,567,0.1791044776119403,0.5333333333333333
0.25,1,568,0.16666666666666666,0.53125
0.25,1,569,0.5081967213114754,0.8666666666666667
0.25,1,570,0.20987654320987653,0.5806451612903226
0.25,1,571,0.2647058823529412,0.6666666666666666
0.25,1,572,0.2608695652173913,0.6666666666666666
0.25,1,573,0.2648648648648649,0.7058823529411765
0.25,1,574,0.2185792349726776,0.7142857142857143
0.25,1,575,0.2706422018348624,0.6341463414634146
0.25,1,576,0.16728624535315986,0.6222222222222222
0.25,1,577,0.20930232558139536,0.5
0.25,1,578,0.13559322033898305,0.5833333333333334
0.25,1,579,0.32,0.75
0.25,1,580,0.1889763779527559,0.6086956521739131
0.25,1,581,0.22535211267605634,0.5416666666666666
0.25,1,582,0.271523178807947,0.7307692307692307
0.25,1,583,0.2644230769230769,0.9117647058823529
0.25,1,584,0.18,0.56
